Server Name,Feed Name,Session Name,Channel,Customer,Multicast Group,Switch IP,Interface
VN-NY4-TP-4-p3p2,cts,A-2,B,Victory Networks,233.200.79.161,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-2,B,Victory Networks,233.200.79.161,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-2,B,Victory Networks,233.200.79.161,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-2,B,Victory Networks,233.200.79.161,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-3,B,Victory Networks,233.200.79.162,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-3,B,Victory Networks,233.200.79.162,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-3,B,Victory Networks,233.200.79.162,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-3,B,Victory Networks,233.200.79.162,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-4,B,Victory Networks,233.200.79.163,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-4,B,Victory Networks,233.200.79.163,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-4,B,Victory Networks,233.200.79.163,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-4,B,Victory Networks,233.200.79.163,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-5,B,Victory Networks,233.200.79.164,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-5,B,Victory Networks,233.200.79.164,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-5,B,Victory Networks,233.200.79.164,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-5,B,Victory Networks,233.200.79.164,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-6,B,Victory Networks,233.200.79.165,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-6,B,Victory Networks,233.200.79.165,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-6,B,Victory Networks,233.200.79.165,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-6,B,Victory Networks,233.200.79.165,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-7,B,Victory Networks,233.200.79.166,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-7,B,Victory Networks,233.200.79.166,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-7,B,Victory Networks,233.200.79.166,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-7,B,Victory Networks,233.200.79.166,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-8,B,Victory Networks,233.200.79.167,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-8,B,Victory Networks,233.200.79.167,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-8,B,Victory Networks,233.200.79.167,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-8,B,Victory Networks,233.200.79.167,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-9,B,Victory Networks,233.200.79.168,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-9,B,Victory Networks,233.200.79.168,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-9,B,Victory Networks,233.200.79.168,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-9,B,Victory Networks,233.200.79.168,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-10,B,Victory Networks,233.200.79.169,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-10,B,Victory Networks,233.200.79.169,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-10,B,Victory Networks,233.200.79.169,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-10,B,Victory Networks,233.200.79.169,10.75.128.11,Et13
VN-NY4-TP-4-p3p1,cqs,F-2,A,Victory Networks,233.200.79.17,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cqs,F-2,A,Victory Networks,233.200.79.17,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cqs,F-2,A,Victory Networks,233.200.79.17,10.75.128.11,Et15
VN-NY4-TP-4-p3p2,cts,A-11,B,Victory Networks,233.200.79.170,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-11,B,Victory Networks,233.200.79.170,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-11,B,Victory Networks,233.200.79.170,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-11,B,Victory Networks,233.200.79.170,10.75.128.11,Et13
VN-NY4-TP-4-p3p2,cts,A-12,B,Victory Networks,233.200.79.171,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-12,B,Victory Networks,233.200.79.171,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-12,B,Victory Networks,233.200.79.171,10.75.128.4,Et44
